ticker,name,mkt_cap_m,revenue_m,stage_raw,subsector_raw,industry,region,exchange_hint,notes,source_sheet,log_mkt_cap,log_revenue,has_revenue,size_band,size_band_ord,rich_modalities,rich_therapeutic_areas,pipeline_filed,modality_source,combined_modalities,primary_modality,is_compound_modality,mod_Oncology,mod_Gene/Cell Therapy,mod_RNA/Antisense,mod_Neurology,mod_Immunology,mod_Rare Disease,mod_Metabolic,mod_Cardiovascular,mod_Ophthalmology,mod_Vaccines,mod_Dermatology,mod_AI/Platform,mod_Psychedelics/CNS,mod_Biosimilars,mod_General Biotech
VRTX,Vertex Pharmaceuticals Incorporated,116010.0,12000.0,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,5.064495426792728,4.079217435746567,1,mega,5,"['Gene editing', 'Small molecule', 'mRNA therapeutic']","['Metabolic/Obesity', 'Hematology', 'Immunology/I&I']",2026-02-13,lexicon,"['Gene editing', 'Small molecule', 'mRNA therapeutic', 'Metabolic/Obesity', 'Hematology', 'Immunology/I&I', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
REGN,"Regeneron Pharmaceuticals, Inc.",77980.0,14340.0,Has revenue,Gene/Cell Therapy,Biotechnology,US,,,US Biotech,4.891983230851967,4.156579435804574,1,mega,5,"['RNAi/siRNA', 'Gene therapy', 'Small molecule']","['Rare disease', 'Oncology', 'Ophthalmology']",2026-02-04,lexicon,"['RNAi/siRNA', 'Gene therapy', 'Small molecule', 'Rare disease', 'Oncology', 'Ophthalmology', 'Gene/Cell Therapy']",Gene/Cell Therapy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARGX,argenx SE,44160.0,4250.0,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,4.645029064721142,3.628491104967123,1,large,4,[],[],,xlsx,['General Biotech'],General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALNY,"Alnylam Pharmaceuticals, Inc.",42530.0,3710.0,Has revenue,RNA/Antisense,Biotechnology,US,,,US Biotech,4.628695382714024,3.569490954348783,1,large,4,"['RNAi/siRNA', 'Gene therapy', 'Monoclonal antibody']","['Rare disease', 'Cardiovascular', 'Neurology/CNS']",2026-02-12,lexicon,"['RNAi/siRNA', 'Gene therapy', 'Monoclonal antibody', 'Rare disease', 'Cardiovascular', 'Neurology/CNS', 'RNA/Antisense']",RNA/Antisense,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ONC,BeOne Medicines AG,33410.0,5340.0,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,4.523876475638131,3.727622577969137,1,large,4,['Small molecule'],['Oncology'],2026-02-26,lexicon,"['Small molecule', 'Oncology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
INSM,Insmed Incorporated,30210.0,606.42,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,4.480150725273281,2.7834890874614695,1,large,4,"['Gene therapy', 'Diagnostics/devices', 'Monoclonal antibody']","['Rare disease', 'Neurology/CNS', 'Cardiovascular']",2026-02-19,lexicon,"['Gene therapy', 'Diagnostics/devices', 'Monoclonal antibody', 'Rare disease', 'Neurology/CNS', 'Cardiovascular', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RPRX,Royalty Pharma plc,26200.0,2380.0,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,4.418301291319746,3.37675939540488,1,large,4,[],"['Oncology', 'Rare disease', 'Immunology/I&I']",2026-02-11,lexicon,"['Oncology', 'Rare disease', 'Immunology/I&I', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BNTX,BioNTech SE,25470.0,3700.0,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,4.406028944963615,3.5683190850951116,1,large,4,[],[],,xlsx,['General Biotech'],General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MRNA,"Moderna, Inc.",20740.0,1940.0,Has revenue,RNA/Antisense,Biotechnology,US,,,US Biotech,4.3168087520530225,3.2880255353883627,1,large,4,"['Vaccine', 'mRNA therapeutic']","['Oncology', 'Rare disease', 'Infectious disease']",2026-02-20,lexicon,"['Vaccine', 'mRNA therapeutic', 'Oncology', 'Rare disease', 'Infectious disease', 'RNA/Antisense']",RNA/Antisense,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ROIV,Roivant Sciences Ltd.,20600.0,13.31,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,4.313867220369153,1.1556396337597763,1,large,4,"['Small molecule', 'Diagnostics/devices', 'Monoclonal antibody']","['Rare disease', 'Immunology/I&I', 'Cardiovascular']",2025-05-29,lexicon,"['Small molecule', 'Diagnostics/devices', 'Monoclonal antibody', 'Rare disease', 'Immunology/I&I', 'Cardiovascular', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RVMD,"Revolution Medicines, Inc.",19500.0,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,4.290034611362518,0.0,0,large,4,['Bispecific antibody'],"['Oncology', 'Rare disease']",2026-02-25,lexicon,"['Bispecific antibody', 'Oncology', 'Rare disease', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
INCY,Incyte Corporation,19090.0,5140.0,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,4.280805928393667,3.711047603867034,1,large,4,['Small molecule'],"['Immunology/I&I', 'Oncology']",2026-02-10,lexicon,"['Small molecule', 'Immunology/I&I', 'Oncology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GMAB,Genmab A/S,16500.0,3720.0,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,4.217483944213907,3.5706596700215343,1,large,4,[],[],,xlsx,['General Biotech'],General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASND,Ascendis Pharma A/S,14770.0,845.52,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,4.169380495311949,2.92763722326838,1,large,4,[],[],,xlsx,['General Biotech'],General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BBIO,"BridgeBio Pharma, Inc.",12670.0,502.08,Has revenue,Rare Disease,Biotechnology,US,,,US Biotech,4.1027766148834415,2.7016370522446707,1,large,4,"['Small molecule', 'Gene therapy', 'Cell therapy (other)']","['Rare disease', 'Oncology', 'Cardiovascular']",2026-02-24,lexicon,"['Small molecule', 'Gene therapy', 'Cell therapy (other)', 'Rare disease', 'Oncology', 'Cardiovascular', 'Rare Disease']",Rare Disease,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IONS,"Ionis Pharmaceuticals, Inc.",12230.0,943.71,Has revenue,RNA/Antisense,Biotechnology,US,,,US Biotech,4.087426457036285,2.975298512500097,1,large,4,"['RNAi/siRNA', 'Gene editing', 'Monoclonal antibody']","['Neurology/CNS', 'Rare disease', 'Cardiovascular']",2026-02-26,lexicon,"['RNAi/siRNA', 'Gene editing', 'Monoclonal antibody', 'Neurology/CNS', 'Rare disease', 'Cardiovascular', 'RNA/Antisense']",RNA/Antisense,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BMRN,BioMarin Pharmaceutical Inc.,11750.0,3220.0,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,4.0700378666077555,3.5079907248196913,1,large,4,[],['Rare disease'],2026-02-26,lexicon,"['Rare disease', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SMMT,Summit Therapeutics Inc.,11720.0,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,4.068927611682072,0.0,0,large,4,"['Bispecific antibody', 'Monoclonal antibody', 'Antibody-drug conjugate']","['Oncology', 'Rare disease']",2026-02-23,lexicon,"['Bispecific antibody', 'Monoclonal antibody', 'Antibody-drug conjugate', 'Oncology', 'Rare disease', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JAZZ,Jazz Pharmaceuticals plc,11200.0,4270.0,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,4.049218022670182,3.630529571426824,1,large,4,[],[],,xlsx,['General Biotech'],General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EXEL,"Exelixis, Inc.",10790.0,2320.0,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,4.033021444682911,3.3656751404559175,1,large,4,"['Antibody-drug conjugate', 'Small molecule', 'Monoclonal antibody']","['Oncology', 'Rare disease']",2026-02-10,lexicon,"['Antibody-drug conjugate', 'Small molecule', 'Monoclonal antibody', 'Oncology', 'Rare disease', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MDGL,"Madrigal Pharmaceuticals, Inc.",9930.0,958.4,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.996949248495381,2.9819997141298784,1,mid,3,"['RNAi/siRNA', 'Small molecule']","['Metabolic/Obesity', 'Rare disease', 'Oncology']",2026-02-19,lexicon,"['RNAi/siRNA', 'Small molecule', 'Metabolic/Obesity', 'Rare disease', 'Oncology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IBRX,"ImmunityBio, Inc.",8910.0,113.29,Has revenue,Immunology,Biotechnology,US,,,US Biotech,3.949877704036875,2.0580082327154026,1,mid,3,['Diagnostics/devices'],"['Oncology', 'Rare disease', 'Infectious disease']",2026-02-23,lexicon,"['Diagnostics/devices', 'Oncology', 'Rare disease', 'Infectious disease', 'Immunology']",Immunology,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PRAX,"Praxis Precision Medicines, Inc.",8650.0,7.46,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.9370161074648142,0.9273703630390235,1,mid,3,"['Antisense oligonucleotide', 'Small molecule']","['Neurology/CNS', 'Rare disease', 'Oncology']",2026-02-19,lexicon,"['Antisense oligonucleotide', 'Small molecule', 'Neurology/CNS', 'Rare disease', 'Oncology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PCVX,"Vaxcyte, Inc.",8530.0,0.0,Pre-revenue,Vaccines,Biotechnology,US,,,US Biotech,3.930949031167523,0.0,0,mid,3,['Vaccine'],"['Infectious disease', 'Rare disease', 'Oncology']",2026-02-24,lexicon,"['Vaccine', 'Infectious disease', 'Rare disease', 'Oncology', 'Vaccines']",Vaccines,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ABVX,ABIVAX Société Anonyme,8490.0,6.23,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.928907690243953,0.8591382972945308,1,mid,3,[],[],,xlsx,['General Biotech'],General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TECH,Bio-Techne Corporation,8430.0,1220.0,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.9258275746247424,3.0867156639448825,1,mid,3,['Gene therapy'],"['Oncology', 'Metabolic/Obesity']",2025-08-22,lexicon,"['Gene therapy', 'Oncology', 'Metabolic/Obesity', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ARWR,"Arrowhead Pharmaceuticals, Inc.",8380.0,1090.0,Has revenue,RNA/Antisense,Biotechnology,US,,,US Biotech,3.9232440186302764,3.037824750588342,1,mid,3,['RNAi/siRNA'],"['Metabolic/Obesity', 'Neurology/CNS', 'Rare disease']",2025-11-25,lexicon,"['RNAi/siRNA', 'Metabolic/Obesity', 'Neurology/CNS', 'Rare disease', 'RNA/Antisense']",RNA/Antisense,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AXSM,"Axsome Therapeutics, Inc.",8300.0,638.5,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.9190780923760737,2.8058405488146727,1,mid,3,[],"['Neurology/CNS', 'Rare disease', 'Metabolic/Obesity']",2026-02-23,lexicon,"['Neurology/CNS', 'Rare disease', 'Metabolic/Obesity', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HALO,"Halozyme Therapeutics, Inc.",7950.0,1400.0,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.90036712865647,3.1464381352857744,1,mid,3,"['Monoclonal antibody', 'Bispecific antibody', 'Diagnostics/devices']","['Oncology', 'Immunology/I&I', 'Infectious disease']",2026-02-17,lexicon,"['Monoclonal antibody', 'Bispecific antibody', 'Diagnostics/devices', 'Oncology', 'Immunology/I&I', 'Infectious disease', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NUVL,"Nuvalent, Inc.",7820.0,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,3.893206753059848,0.0,0,mid,3,"['Small molecule', 'Diagnostics/devices', 'Antibody-drug conjugate']","['Oncology', 'Rare disease', 'Neurology/CNS']",2026-02-26,lexicon,"['Small molecule', 'Diagnostics/devices', 'Antibody-drug conjugate', 'Oncology', 'Rare disease', 'Neurology/CNS', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CYTK,"Cytokinetics, Incorporated",7440.0,88.04,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.8715729355458786,1.949585151326652,1,mid,3,['Small molecule'],['Cardiovascular'],2026-02-26,lexicon,"['Small molecule', 'Cardiovascular', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KRYS,"Krystal Biotech, Inc.",7420.0,389.13,Has revenue,Rare Disease,Biotechnology,US,,,US Biotech,3.870403905279027,2.5912093477316893,1,mid,3,"['Gene therapy', 'Gene editing']","['Oncology', 'Rare disease', 'Dermatology']",2026-02-17,lexicon,"['Gene therapy', 'Gene editing', 'Oncology', 'Rare disease', 'Dermatology', 'Rare Disease']",Rare Disease,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BLTE,"Belite Bio, Inc",6820.0,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,3.833784374656479,0.0,0,mid,3,[],[],,xlsx,['General Biotech'],General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KYMR,"Kymera Therapeutics, Inc.",6820.0,39.21,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.833784374656479,1.6043340731029112,1,mid,3,"['Small molecule', 'Protein degrader', 'Gene therapy']","['Rare disease', 'Immunology/I&I', 'Oncology']",2026-02-26,lexicon,"['Small molecule', 'Protein degrader', 'Gene therapy', 'Rare disease', 'Immunology/I&I', 'Oncology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ACLX,"Arcellx, Inc.",6690.0,22.29,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.8254261177678233,1.3671694885346808,1,mid,3,"['CAR-T cell therapy', 'Monoclonal antibody', 'Antibody-drug conjugate']","['Oncology', 'Immunology/I&I', 'Neurology/CNS']",2026-02-26,lexicon,"['CAR-T cell therapy', 'Monoclonal antibody', 'Antibody-drug conjugate', 'Oncology', 'Immunology/I&I', 'Neurology/CNS', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RYTM,"Rhythm Pharmaceuticals, Inc.",6390.0,189.76,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.8055008581584002,2.2804873137618293,1,mid,3,['Small molecule'],"['Metabolic/Obesity', 'Rare disease', 'Oncology']",2026-02-26,lexicon,"['Small molecule', 'Metabolic/Obesity', 'Rare disease', 'Oncology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
COGT,"Cogent Biosciences, Inc.",5970.0,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,3.775974331129369,0.0,0,mid,3,['Small molecule'],"['Rare disease', 'Oncology', 'Neurology/CNS']",2026-02-17,lexicon,"['Small molecule', 'Rare disease', 'Oncology', 'Neurology/CNS', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PTGX,"Protagonist Therapeutics, Inc.",5880.0,46.02,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.7693773260761385,1.6722826247889206,1,mid,3,[],[],,xlsx,['General Biotech'],General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IMVT,"Immunovant, Inc.",5430.0,0.0,Pre-revenue,Immunology,Biotechnology,US,,,US Biotech,3.734799829588847,0.0,0,mid,3,['Monoclonal antibody'],"['Immunology/I&I', 'Dermatology', 'Oncology']",2025-05-29,lexicon,"['Monoclonal antibody', 'Immunology/I&I', 'Dermatology', 'Oncology', 'Immunology']",Immunology,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CRSP,CRISPR Therapeutics AG,5420.0,3.51,Has revenue,Gene/Cell Therapy,Biotechnology,US,,,US Biotech,3.733999286538387,0.6541765418779605,1,mid,3,"['Gene editing', 'CAR-T cell therapy', 'Gene therapy']","['Rare disease', 'Immunology/I&I', 'Oncology']",2026-02-12,lexicon,"['Gene editing', 'CAR-T cell therapy', 'Gene therapy', 'Rare disease', 'Immunology/I&I', 'Oncology', 'Gene/Cell Therapy']",Gene/Cell Therapy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CELC,Celcuity Inc.,5320.0,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,3.7259116322950483,0.0,0,mid,3,['Diagnostics/devices'],['Oncology'],2026-03-26,lexicon,"['Diagnostics/devices', 'Oncology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAI,"Caris Life Sciences, Inc.",5250.0,812.03,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.720159303405957,2.910106570925038,1,mid,3,"['Diagnostics/devices', 'Antibody-drug conjugate', 'Protein degrader']","['Oncology', 'Neurology/CNS', 'Metabolic/Obesity']",2026-03-03,lexicon,"['Diagnostics/devices', 'Antibody-drug conjugate', 'Protein degrader', 'Oncology', 'Neurology/CNS', 'Metabolic/Obesity', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CGON,"CG Oncology, Inc.",5220.0,4.04,Has revenue,Oncology,Biotechnology,US,,,US Biotech,3.717670503002262,0.7024305364455253,1,mid,3,['Gene therapy'],"['Oncology', 'Rare disease']",2026-02-27,lexicon,"['Gene therapy', 'Oncology', 'Rare disease']",Oncology,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRM,"Mirum Pharmaceuticals, Inc.",5210.0,521.31,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.7168377232995247,2.7179283407962975,1,mid,3,['Monoclonal antibody'],['Rare disease'],2026-02-25,lexicon,"['Monoclonal antibody', 'Rare disease', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SRRK,Scholar Rock Holding Corporation,5200.0,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,3.716003343634799,0.0,0,mid,3,"['Monoclonal antibody', 'Gene therapy', 'Antisense oligonucleotide']","['Rare disease', 'Oncology', 'Metabolic/Obesity']",2026-03-03,lexicon,"['Monoclonal antibody', 'Gene therapy', 'Antisense oligonucleotide', 'Rare disease', 'Oncology', 'Metabolic/Obesity', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PTCT,"PTC Therapeutics, Inc.",5200.0,1730.0,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.716003343634799,3.238297067875394,1,mid,3,"['Gene therapy', 'Small molecule']","['Rare disease', 'Neurology/CNS']",2026-02-19,lexicon,"['Gene therapy', 'Small molecule', 'Rare disease', 'Neurology/CNS', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
APGE,"Apogee Therapeutics, Inc.",5030.0,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,3.7015679850559273,0.0,0,mid,3,"['Monoclonal antibody', 'Gene therapy']","['Rare disease', 'Immunology/I&I', 'Oncology']",2026-03-02,lexicon,"['Monoclonal antibody', 'Gene therapy', 'Rare disease', 'Immunology/I&I', 'Oncology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ERAS,"Erasca, Inc.",4790.0,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,3.680335513414563,0.0,0,mid,3,"['Protein degrader', 'Diagnostics/devices', 'Small molecule']","['Oncology', 'Rare disease']",2026-03-12,lexicon,"['Protein degrader', 'Diagnostics/devices', 'Small molecule', 'Oncology', 'Rare disease', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TERN,"Terns Pharmaceuticals, Inc.",4660.0,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,3.66838591669,0.0,0,mid,3,[],[],,xlsx,['General Biotech'],General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FOLD,"Amicus Therapeutics, Inc.",4500.0,634.21,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.6532125137753435,2.8029173264949745,1,mid,3,"['Gene therapy', 'Small molecule']","['Rare disease', 'Metabolic/Obesity']",2026-02-20,lexicon,"['Gene therapy', 'Small molecule', 'Rare disease', 'Metabolic/Obesity', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TGTX,"TG Therapeutics, Inc.",4320.0,616.29,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.635483746814912,2.790489241522437,1,mid,3,"['Monoclonal antibody', 'CAR-T cell therapy']","['Immunology/I&I', 'Neurology/CNS', 'Oncology']",2026-02-27,lexicon,"['Monoclonal antibody', 'CAR-T cell therapy', 'Immunology/I&I', 'Neurology/CNS', 'Oncology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GPCR,Structure Therapeutics Inc.,4090.0,0.0,Pre-revenue,Metabolic,Biotechnology,US,,,US Biotech,3.611723308007342,0.0,0,mid,3,['Small molecule'],['Metabolic/Obesity'],2026-02-26,lexicon,"['Small molecule', 'Metabolic/Obesity', 'Metabolic']",Metabolic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LGND,Ligand Pharmaceuticals Incorporated,4030.0,268.09,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.6053050461411096,2.4298975586871476,1,mid,3,['Vaccine'],"['Oncology', 'Metabolic/Obesity', 'Cardiovascular']",2026-02-27,lexicon,"['Vaccine', 'Oncology', 'Metabolic/Obesity', 'Cardiovascular', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CRNX,"Crinetics Pharmaceuticals, Inc.",4000.0,7.7,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.6020599913279625,0.9395192526186185,1,mid,3,"['Antibody-drug conjugate', 'Small molecule']","['Oncology', 'Rare disease', 'Metabolic/Obesity']",2026-02-26,lexicon,"['Antibody-drug conjugate', 'Small molecule', 'Oncology', 'Rare disease', 'Metabolic/Obesity', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VKTX,"Viking Therapeutics, Inc.",3810.0,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,3.5809249756756194,0.0,0,mid,3,[],"['Metabolic/Obesity', 'Rare disease']",2026-02-11,lexicon,"['Metabolic/Obesity', 'Rare disease', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CNTA,Centessa Pharmaceuticals plc,3790.0,15.0,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.578639209968072,1.2041199826559248,1,mid,3,['Small molecule'],"['Rare disease', 'Metabolic/Obesity', 'Oncology']",2026-03-31,lexicon,"['Small molecule', 'Rare disease', 'Metabolic/Obesity', 'Oncology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ACAD,ACADIA Pharmaceuticals Inc.,3780.0,1070.0,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.577491799837225,3.029789470831856,1,mid,3,"['Gene therapy', 'Antisense oligonucleotide']","['Rare disease', 'Neurology/CNS', 'Oncology']",2026-02-26,lexicon,"['Gene therapy', 'Antisense oligonucleotide', 'Rare disease', 'Neurology/CNS', 'Oncology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ADMA,"ADMA Biologics, Inc.",3670.0,510.17,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.5646660642520893,2.7085653576370934,1,mid,3,['Vaccine'],"['Infectious disease', 'Oncology', 'Immunology/I&I']",2026-02-25,lexicon,"['Vaccine', 'Infectious disease', 'Oncology', 'Immunology/I&I', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CORT,Corcept Therapeutics Incorporated,3600.0,761.41,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.5563025007672873,2.882188584005319,1,mid,3,[],"['Oncology', 'Rare disease', 'Metabolic/Obesity']",2026-02-24,lexicon,"['Oncology', 'Rare disease', 'Metabolic/Obesity', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LEGN,Legend Biotech Corporation,3500.0,909.05,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.5440680443502757,2.9590652539997295,1,mid,3,[],[],,xlsx,['General Biotech'],General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
XENE,Xenon Pharmaceuticals Inc.,3490.0,7.5,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.5428254269591797,0.9294189257142927,1,mid,3,[],"['Rare disease', 'Neurology/CNS', 'Oncology']",2026-02-26,lexicon,"['Rare disease', 'Neurology/CNS', 'Oncology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NAMS,NewAmsterdam Pharma Company N.V.,3430.0,22.5,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.5352941200427703,1.3710678622717363,1,mid,3,['Small molecule'],"['Neurology/CNS', 'Metabolic/Obesity', 'Rare disease']",2026-02-18,lexicon,"['Small molecule', 'Neurology/CNS', 'Metabolic/Obesity', 'Rare disease', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALMS,Alumis Inc.,3350.0,22.12,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,3.525044807036845,1.3639878297484915,1,mid,3,['Monoclonal antibody'],"['Neurology/CNS', 'Immunology/I&I']",2026-03-19,lexicon,"['Monoclonal antibody', 'Neurology/CNS', 'Immunology/I&I', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SYRE,"Spyre Therapeutics, Inc.",3150.0,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,3.4983105537896004,0.0,0,mid,3,"['Monoclonal antibody', 'Gene therapy', 'Small molecule']","['Rare disease', 'Immunology/I&I', 'Oncology']",2026-02-19,lexicon,"['Monoclonal antibody', 'Gene therapy', 'Small molecule', 'Rare disease', 'Immunology/I&I', 'Oncology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
